Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Instructions),Bronx,Bronx
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Instructions),Bronx,Bronx
Force,Physical force,Full Investigation,Substantiated (Instructions),Bronx,Bronx
Discourtesy,Word,Full Investigation,Substantiated (Instructions),Bronx,Bronx
Discourtesy,Word,Full Investigation,Substantiated (Instructions),Bronx,Bronx
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Officer(s) Unidentified,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Officer(s) Unidentified,Queens,Queens South
Force,Pepper spray,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Question and/or stop,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Threat to damage/seize property,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Threat of arrest,Full Investigation,Unsubstantiated,Bronx,Bronx
Force,Other - Force,Full Investigation,Unsubstantiated,Bronx,Bronx
Force,Other,Full Investigation,Unsubstantiated,Bronx,Bronx
Force,Chokehold,Full Investigation,Unsubstantiated,Bronx,Bronx
